epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,921.826,1.44525,2.24562,1.26381,0.81899,0.36943,0.66078,0.425,1.14942,2.06425,1.08938,0.00032971,0.00032971,0.00032971
2,1992.19,1.15721,1.14906,1.10607,0.71211,0.79449,0.80644,0.55411,1.03735,1.02,1.05157,0.000531761,0.000531761,0.000531761
3,2830.03,1.07834,1.01953,1.07381,0.75759,0.82467,0.83804,0.57628,1.02319,0.93462,1.0453,0.000601812,0.000601812,0.000601812
4,3162.57,1.03242,0.93327,1.06401,0.7775,0.84168,0.85673,0.61026,0.95881,0.84007,1.02398,0.000406,0.000406,0.000406
5,3501.35,0.98942,0.88124,1.04321,0.79136,0.86318,0.86745,0.62537,0.92348,0.78595,1.01166,0.000208,0.000208,0.000208
